NW5001	 letzter Monat : 1612
NW5002	 letzter Monat : 1612
NW5003	 letzter Monat : 1612
NW5004	 letzter Monat : 1612
NW5005	 letzter Monat : 1612
NW5006	 letzter Monat : 1612
NW5007	 letzter Monat : 1612
NW5008	 letzter Monat : 1612
NW5010	 letzter Monat : 1612
NW5011	 letzter Monat : 1612
NW5013	 letzter Monat : 1612
NW5014	 letzter Monat : 1612
NW5015	 letzter Monat : 1612
NW5016	 letzter Monat : 1612
NW5017	 letzter Monat : 1612
NW5018	 letzter Monat : 1612
NW5019	 letzter Monat : 1612
NW5020	 letzter Monat : 1612
NW5021	 letzter Monat : 1612
NW5022	 letzter Monat : 1612
NW5023	 letzter Monat : 1612
NW5024	 letzter Monat : 1612
NW5025	 letzter Monat : 1612
NW5026	 letzter Monat : 1612
NW5027	 letzter Monat : 1612
NW5028	 letzter Monat : 1612
NW5029	 letzter Monat : 1612
NW5030	 letzter Monat : 1612
NW5031	 letzter Monat : 1612
NW5032	 letzter Monat : 1612
NW5033	 letzter Monat : 1612
NW5034	 letzter Monat : 1612
NW5035	 letzter Monat : 1612
NW5036	 letzter Monat : 1612
NW5037	 letzter Monat : 1612
NW5039	 letzter Monat : 1612
NW5040	 letzter Monat : 1612
NW5041	 letzter Monat : 1612
NW5042	 letzter Monat : 1612
NW5043	 letzter Monat : 1612
NW5044	 letzter Monat : 1612
NW5045	 letzter Monat : 1612
NW5046	 letzter Monat : 1612
NW5047	 letzter Monat : 1612
NW5048	 letzter Monat : 1612
NW5049	 letzter Monat : 1612
NW5050	 letzter Monat : 1612
NW5051	 letzter Monat : 1612
NW5052	 letzter Monat : 1612
NW5053	 letzter Monat : 1612
NW5055	 letzter Monat : 1612
NW5056	 letzter Monat : 1612
NW5057	 letzter Monat : 1612
NW5058	 letzter Monat : 1612
NW5059	 letzter Monat : 1612
NW5060	 letzter Monat : 1612
NW5061	 letzter Monat : 1612
NW5062	 letzter Monat : 1612
NW5063	 letzter Monat : 1612
NW5064	 letzter Monat : 1612
NW5065	 letzter Monat : 1612
NW5066	 letzter Monat : 1612
NW5067	 letzter Monat : 1612
NW5068	 letzter Monat : 1612
NW5069	 letzter Monat : 1612
NW5070	 letzter Monat : 1612
NW5071	 letzter Monat : 1612
NW5072	 letzter Monat : 1612
NW5073	 letzter Monat : 1612
NW5074	 letzter Monat : 1612
NW5075	 letzter Monat : 1612
NW5076	 letzter Monat : 1612
NW5077	 letzter Monat : 1612
NW5078	 letzter Monat : 1612
NW5079	 letzter Monat : 1612
NW5080	 letzter Monat : 1612
NW5081	 letzter Monat : 1612
NW5082	 letzter Monat : 1612
NW5085	 letzter Monat : 1612
NW5088	 letzter Monat : 1612
NW5090	 letzter Monat : 1612
NW5097	 letzter Monat : 1612
NW5101	 letzter Monat : 1612
NW5102	 letzter Monat : 1612
NW5103	 letzter Monat : 1612
NW5104	 letzter Monat : 1612
NW5105	 letzter Monat : 1612
NW5106	 letzter Monat : 1612
NW5107	 letzter Monat : 1612
NW5108	 letzter Monat : 1612
NW5109	 letzter Monat : 1612
NW5110	 letzter Monat : 1612
NW5111	 letzter Monat : 1612
NW5112	 letzter Monat : 1612
NW5113	 letzter Monat : 1612
NW5115	 letzter Monat : 1612
NW5116	 letzter Monat : 1612
NW5117	 letzter Monat : 1612
NW5118	 letzter Monat : 1612
NW5119	 letzter Monat : 1612
NW5120	 letzter Monat : 1612
NW5121	 letzter Monat : 1612
NW5122	 letzter Monat : 1612
NW5123	 letzter Monat : 1612
NW5124	 letzter Monat : 1612
NW5125	 letzter Monat : 1612
NW5126	 letzter Monat : 1612
NW5128	 letzter Monat : 1612
NW5129	 letzter Monat : 1612
NW5130	 letzter Monat : 1612
NW5132	 letzter Monat : 1612
NW5135	 letzter Monat : 1612
NW5136	 letzter Monat : 1612
NW5137	 letzter Monat : 1612
NW5138	 letzter Monat : 1612
NW5139	 letzter Monat : 1612
NW5140	 letzter Monat : 1612
NW5141	 letzter Monat : 1612
NW5142	 letzter Monat : 1612
NW5143	 letzter Monat : 1612
NW5144	 letzter Monat : 1612
NW5146	 letzter Monat : 1612
